X,Y,OBJECTID,Ppty_Name,Ppty_Addre,City,State,Zip,County,CD,TotalUnits,ActiveSubs,Owner,Latitude,Longitude,OwnerType,SbsdyEnd
-84.5131500003722,33.6214199998332,1,Hickory Park Apartments,4900 Delano Rd,Atlanta,GA,30349-2640,Fulton,13,150,2,"Hickory Park, Ltd.* (2)",33.62142,-84.51315,Multiple,2033/10/01 00:00:00+00
-84.4915000002248,33.6338599997392,2,COVE AT RED OAK,4500 Washington Rd,Atlanta,GA,30344,Fulton,13,144,1,COVE AT RED OAK APTS LP,33.63386,-84.4915,Non-Profit,2020/12/31 00:00:00+00
-84.4883200001678,33.6470300000345,3,NU DIMENSIONS APARTMENTS* (2),3200 Lakeview Pl,Atlanta,GA,30337-3871,Fulton,5,326,1,TMW APTS INC,33.64703,-84.48832,For Profit,2026/12/31 00:00:00+00
-84.3592499997876,33.6507699998357,4,COLUMBIA PARK ( 950 CONLEY ROAD ),950 Conley Rd SE,Atlanta,GA,30354-3528,Fulton,5,71,0, ,33.65077,-84.35925, ,2006/08/27 00:00:00+00
-84.3526500002972,33.6597900003083,5,COLUMBIA HILL / DUTCH HILL II* (4),3450 Forrest Park Rd SE,Atlanta,GA,30354-3439,Fulton,5,124,11,COLUMBIA HILL* (2),33.65979,-84.35265,Multiple,2031/11/10 00:00:00+00
-84.3931500000724,33.662300000045,6,COLONIAL SQUARE,Colonial Sq,Atlanta,GA,30354, ,5,192,0,VINCE MURPHY,33.6623,-84.39315,For Profit,2027/12/31 00:00:00+00
-84.3987100001663,33.6665400004208,7,COSBY SPEAR HIGHRISE,355 North Ave NE,Atlanta,GA,30308-2542,Fulton,5,282,1,Housing Authority of the City of ATLANTA Georgia,33.66654,-84.39871, ,
-84.5187499996127,33.6676999999551,8,LEGACY AT WALTON LAKES,4725 Walton Xing SW,Atlanta,GA,30331,Fulton,5,126,1,Housing Authority of Fulton County,33.6677,-84.51875, ,
-84.4948700000504,33.6682500001374,9,HIDDEN CRESTE APARTMENTS,3200 Stone Rd SW,Atlanta,GA,30331-2900,Fulton,5,320,1,HIDDEN CRESTE HSG PARTN LP,33.66825,-84.49487,For Profit,2020/12/31 00:00:00+00
-84.5007099995668,33.6683999998602,10,TECALI CLUB APARTMENTS* (2),3540 N Camp Creek Pkwy SW,Atlanta,GA,30331-3214,Fulton,5,232,1,THE WILKINSON GROUP INC,33.6684,-84.50071,For Profit,2028/12/31 00:00:00+00
-84.3900199996232,33.6716199999631,11,WOODS AT GLENROSE* (3),50 Mount Zion Rd SW,Atlanta,GA,30354-2359,Fulton,5,142,2,KEVIN SMITH* (3),33.67162,-84.39002,For Profit,2027/12/31 00:00:00+00
-84.4997100002163,33.6720700000305,12,GREENBRIAR COLONG COOP,3375 Stone Rd SW,Atlanta,GA,30331,Fulton,5,79,0, ,33.67207,-84.49971, ,2000/12/18 00:00:00+00
-84.3845500000824,33.6726800002818,13,"TERRACES, PHASE III* (3)",183 Mount Zion Rd SE,Atlanta,GA,30354-2119,Fulton,5,222,3,STEVEN J DEFRANCIS,33.67268,-84.38455,For Profit,2046/06/01 00:00:00+00
-84.3689999997501,33.6728399995664,14,Oxford Village Townhouses II* (2),2980 Jonesboro Rd SE,Atlanta,GA,30354-4202,Fulton,5,100,0,Oxford Village Townhouses Inc,33.67284,-84.369,Non-Profit,2016/10/31 00:00:00+00
-84.3918900004231,33.6729199996583,15,Brandywine Townhouses,85 Mount Zion Rd SW,Atlanta,GA,30354-2349,Fulton,5,238,1,Brandywine Townhouses Inc,33.67292,-84.39189,Non-Profit,2019/07/31 00:00:00+00
-84.399679999932,33.6732400000261,16, ,309 Mount Zion Rd SW,Atlanta,GA,30354,Fulton, ,20,0, ,33.67324,-84.39968, ,2015/04/02 00:00:00+00
-84.4971099999265,33.6736199995634,17, ,3301 N Camp Creek Pkwy SW,Atlanta,GA,30331,Fulton, ,78,0, ,33.67362,-84.49711, ,2000/12/18 00:00:00+00
-84.4573100000564,33.6748899996738,18,BETHEL HEIGHTS,1034 Washington Ave,Atlanta,GA,30344,Fulton,5,10,1,INC PRAI,33.67489,-84.45731,For Profit,2021/12/31 00:00:00+00
-84.5456499999475,33.6763300004292,19,"Catholic Retirement Facilities , Inc.",2973 Butner Rd SW,Atlanta,GA,30331-7882,Fulton,5,47,1,"Catholic Retirement Facilities, Inc.",33.67633,-84.54565,Non-Profit,2017/08/31 00:00:00+00
-84.4166999997052,33.6765499997827,20,HERITAGE GREEN APARTMENTS* (2),2891 Springdale Rd SW,Atlanta,GA,30315-7800,Fulton,5,109,1,LOUDON INVESTORS LP* (2),33.67655,-84.4167,For Profit,2020/12/31 00:00:00+00
-84.4915499998326,33.677180000057,21,GREENBRIAR COMMONS,3000 Stone Hogan Connector Rd SW,Atlanta,GA,30331-2834,Fulton,5,168,1,AMERICAN COMMONS INC,33.67718,-84.49155,For Profit,2023/12/31 00:00:00+00
-84.3921800003067,33.6779899996388,22,BROADMOOR PARTNERSHIP INC,2825 Waters Rd SW,Atlanta,GA,30354-2044,Fulton,5,44,0, ,33.67799,-84.39218, ,2000/06/25 00:00:00+00
-84.3912400001259,33.6788200001429,23,SUMMERDALE COMMONS PHASE II,2821 Waters Rd SW,Atlanta,GA,30354,Fulton,5,139,1,Housing Authority of the City of ATLANTA Georgia,33.67882,-84.39124, ,
-84.3925500002823,33.6788699997508,24,SUMMERDALE / BRIARWOOD,2786 Hapeville Rd SW,Atlanta,GA,30354-2068,Fulton,5,100,1,2745 HAPEVILLE RD PARTNERSHIP LLC,33.67887,-84.39255,Non-Profit,2027/12/31 00:00:00+00
-84.4062000002298,33.6788800002119,25,PAVILLION PLACE,532 Cleveland Ave SW,Atlanta,GA,30315-8000,Fulton,5,240,1,CRESCENT HILLS LP,33.67888,-84.4062,For Profit,2018/12/31 00:00:00+00
-84.3763499996527,33.679580000117,26,EVERGREEN VILLAGE ESTATES,445 Cleveland Ave SE,Atlanta,GA,30354-2200,Fulton,5,200,1,CHAMBLEE RESIDENCES,33.67958,-84.37635,For Profit,
