TotalUnits,ActiveSubs,Latitude,Longitude,OwnerType
150,2,33.62142,-84.51315,Multiple
144,1,33.63386,-84.4915,Non-Profit
326,1,33.64703,-84.48832,For Profit
124,11,33.65979,-84.35265,Multiple
192,0,33.6623,-84.39315,For Profit
320,1,33.66825,-84.49487,For Profit
232,1,33.6684,-84.50071,For Profit
142,2,33.67162,-84.39002,For Profit
222,3,33.67268,-84.38455,For Profit
100,0,33.67284,-84.369,Non-Profit
238,1,33.67292,-84.39189,Non-Profit
10,1,33.67489,-84.45731,For Profit
47,1,33.67633,-84.54565,Non-Profit
109,1,33.67655,-84.4167,For Profit
168,1,33.67718,-84.49155,For Profit
100,1,33.67887,-84.39255,Non-Profit
240,1,33.67888,-84.4062,For Profit
200,1,33.67958,-84.37635,For Profit
136,2,33.6796,-84.39445,For Profit
210,1,33.68017,-84.37481,For Profit
94,0,33.6806,-84.49277,Non-Profit
100,0,33.6817,-84.3704,For Profit
160,1,33.682859,-84.49382,Non-Profit
192,1,33.68334,-84.39631,For Profit
240,3,33.68342,-84.41575,For Profit
166,1,33.68409,-84.50134,For Profit
240,1,33.6928,-84.62393,For Profit
166,1,33.6942,-84.35692,For Profit
250,2,33.69618,-84.41475,For Profit
204,2,33.69838,-84.3245,For Profit
323,1,33.69932,-84.46586,For Profit
250,2,33.70055,-84.45152,For Profit
376,1,33.70081,-84.48352,Multiple
200,1,33.70138,-84.40805,For Profit
191,1,33.70146,-84.42617,For Profit
100,1,33.70196,-84.45644,For Profit
46,0,33.70299,-84.46865,Non-Profit
300,3,33.70356,-84.45616,For Profit
62,1,33.70454,-84.46834,Multiple
181,1,33.70553,-84.37443,For Profit
48,2,33.70596,-84.39971,For Profit
30,1,33.70711,-84.38249,Non-Profit
396,1,33.70748,-84.35917,For Profit
100,1,33.70801,-84.38252,For Profit
180,1,33.70807,-84.48719,For Profit
192,2,33.70812,-84.39943,For Profit
120,0,33.7088,-84.44777,Non-Profit
100,2,33.70891,-84.40027,For Profit
96,1,33.70995,-84.44833,For Profit
78,1,33.7109,-84.38748,Non-Profit
77,1,33.71114,-84.38255,For Profit
338,1,33.71119,-84.35851,For Profit
12,1,33.71228,-84.39394,For Profit
